y,x,tag,level,desc
33.77523054069089, -84.39662030286206,culc0,0,CULC Entrance
33.77514573929421, -84.3961612140093,culc1,0,CULC Back
33.774514571975786, -84.39616558628408,culc2,0,CULC Library Connector
33.774205649616356, -84.3961714159838,culc3,0,CULC Library Connector
33.77415113379022, -84.39662904741164,culc4,0,CULC Other Entrance
33.774509726143464, -84.39606793881381,prglib0,0,Price Gilbert Library Back 1
33.774502457394455, -84.39548059656725,prglib1,0,Price Gilbert Library Back 2
33.774198380841526, -84.39547913914232,prglib2,0,Price Gilbert Library Conector
33.774205649616356, -84.39607522593845,prglib3,0,Price Gilbert Library Conector
33.77435223644345, -84.39535963029812,crossland0,0,Crossland 1
33.77434860206234, -84.39495592359265,crossland1,0,Crossland 2
33.774028775920826, -84.39497487011674,crossland2,0,Crossland 3
33.774033621780355, -84.39536254514796,crossland3,0,Crossland 4
