Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,light
6575,-0.21679117,0.16253307,10.642911,,,,,,,
6581,,,,0.08867276,-0.005348441,-0.05332136,,,,
6595,-0.17127708,0.5410187,9.119387,,,,,,,
6597,,,,,,,-4.254511,27.00152,-63.657074,
6601,,,,0.24260335,-0.23757587,-0.047462415,,,,
6615,0.11378488,0.842849,8.079749,,,,,,,
6617,,,,,,,-2.4090004,27.036484,-63.147278,
6621,,,,0.034344316,-0.22053166,-0.038407672,,,,
6635,0.073061705,0.6967248,10.144651,,,,,,,
6637,,,,,,,-4.8695087,26.987549,-63.981735,
6641,,,,-0.3076053,0.13153793,0.0020723366,,,,
6655,0.11378488,0.21044263,11.938865,,,,,,,
6657,,,,,,,-3.0220375,25.838608,-63.767715,
6661,,,,-0.20800312,0.27002215,0.06439025,,,,
6675,-0.14013585,0.19606978,11.016605,,,,,,,
6677,,,,,,,-3.3293533,26.697546,-65.17819,
6681,,,,0.20105807,0.0708179,0.019649185,,,,
6695,-0.27428266,0.5961147,8.944517,,,,,,,
6697,,,,,,,-3.4829693,25.53447,-63.93042,
6701,,,,0.33368334,-0.15182216,-0.019765563,,,,
6715,-0.19523187,0.8308716,8.213896,,,,,,,
6717,,,,,,,-2.7156658,26.29477,-63.146317,
6721,,,,0.076954864,-0.009609495,0.042552352,,,,
6735,0.0035928488,0.81410325,9.627228,,,,,,,
6737,,,,,,,-2.7143288,26.566425,-64.69707,
6741,,,,-0.23516734,0.30038217,0.15600291,,,,
6756,0.30781865,0.44280407,10.932764,,,,,,,
6757,,,,,,,-1.946394,26.739405,-63.75139,
6762,,,,-0.26712528,0.3158285,0.16665554,,,,
6776,0.16408992,0.31823918,10.98786,,,,,,,
6777,,,,,,,-2.25251,25.84565,-64.05818,
6782,,,,-0.059931505,0.11715686,0.043617614,,,,
6796,-0.032339334,0.31823918,9.864381,,,,,,,
6797,,,,,,,-1.3317375,27.62625,-64.21066,
6802,,,,0.12862015,-0.13957164,-0.055984523,,,,
6816,-0.180859,0.50269103,9.227184,,,,,,,
6817,,,,,,,-3.637722,26.702143,-64.56685,
6822,,,,0.10145592,-0.22212957,-0.079952955,,,,
6836,-0.19523187,0.49071363,9.457149,,,,,,,
6837,,,,,,,-3.6373177,26.407326,-64.56343,
6842,,,,-0.011462016,-0.06287266,-0.023493987,,,,
