Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,light,5_mag_acc
0,0.06108433,-0.09138766,9.136155,0.03179645,-0.025261726,0.06921216,,,,,9.136816249864983
5,0.0023951083,-0.091387644,9.04872,-0.0081509305,0.010957235,0.06708164,4.9570885,-8.577202,-47.02021,,9.049181790439379
10,-0.019164197,-0.15846105,8.945715,-0.05022884,0.045045663,0.06708164,,,,,8.947138874078057
15,-0.062282808,-0.15247235,8.963681,-0.098698325,0.072742514,0.07187533,5.263197,-8.551685,-45.620018,,8.965194032225286
20,-0.06587602,-0.13211077,9.052313,-0.14823307,0.09351516,0.07453848,,,,,9.053516640263608
25,-0.07066698,-0.12731983,9.229579,-0.18604992,0.11322253,0.07720164,6.798765,-6.609707,-45.44953,,9.230727635371684
30,-0.08384211,-0.1201334,9.434393,-0.21427941,0.13133201,0.07879954,,,,,9.435530340773317
35,-0.114983335,-0.14289044,9.685917,-0.23505205,0.13399518,0.07560374,6.3399944,-8.245159,-45.906303,,9.68765332658328
40,-0.14013585,-0.14289044,9.939838,-0.24623732,0.12174463,0.07507111,,,,,9.941852704629184
45,-0.11857655,-0.1788226,10.168607,-0.24197625,0.09458042,0.07773427,7.570114,-7.0611076,-46.818,,10.170870476066916
50,-0.086237594,-0.20397513,10.28359,-0.22706257,0.06368778,0.07507111,,,,,10.28597423992387
55,-0.098214984,-0.24110505,10.3949795,-0.20309414,0.030131977,0.07240795,7.2626896,-8.371613,-45.417595,,10.398239112159226
60,-0.101808205,-0.25308242,10.503974,-0.17326677,-0.0060869823,0.07613637,,,,,10.507515663304735
65,-0.08983081,-0.27104858,10.526731,-0.1386457,-0.036979627,0.079332165,4.649912,-8.4437275,-47.64846,,10.530603138163848
70,-0.039525762,-0.24230278,10.604584,-0.10455728,-0.058284897,0.08199533,,,,,10.607425452771912
75,-0.07665568,-0.25188473,10.708787,-0.07206675,-0.08331859,0.08093006,7.2604275,-5.5916862,-46.84272,,10.712023199277175
80,-0.08264438,-0.25308248,10.713577,-0.035315152,-0.11314597,0.08039743,,,,,10.71688448058285
85,-0.12576298,-0.25428018,10.701601,-0.00016145402,-0.14297333,0.0798648,5.4161167,-7.379347,-46.248833,,10.705360278864058
90,-0.20481378,-0.28422368,10.616562,0.036590137,-0.16161545,0.08572374,,,,,10.622340631169509
95,-0.18325448,-0.31895813,10.575838,0.076004885,-0.16960493,0.09424585,6.1847763,-7.3607254,-45.765648,,10.582233502213848
