Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,light,10_mag_acc
0,0.021958182,-0.09138765,9.077866,0.01182276,-0.007152246,0.0681469,4.9570885,-8.577202,-47.02021,,9.078352547587325
10,-0.040723503,-0.1554667,8.954698,-0.07446358,0.05889409,0.06947848,5.263197,-8.551685,-45.620018,,8.956140048576144
20,-0.0682715,-0.1297153,9.140945,-0.1671415,0.10336885,0.07587006,6.798765,-6.609707,-45.44953,,9.142120243673858
30,-0.099412724,-0.13151191,9.560155,-0.22466573,0.1326636,0.077201635,6.3399944,-8.245159,-45.906303,,9.561576329046897
40,-0.1293562,-0.16085653,10.054222,-0.24410678,0.10816252,0.076402694,7.570114,-7.0611076,-46.818,,10.05634068013838
50,-0.09222629,-0.22254008,10.339285,-0.21507835,0.046909876,0.07373953,7.2626896,-8.371613,-45.417595,,10.34209089531699
60,-0.0958195,-0.2620655,10.515352,-0.15595624,-0.021533305,0.07773427,4.649912,-8.4437275,-47.64846,,10.519053540446237
70,-0.05809072,-0.24709377,10.656686,-0.088312015,-0.07080174,0.081462696,7.2604275,-5.5916862,-46.84272,,10.659708549745577
80,-0.10420368,-0.25368133,10.707588,-0.017738303,-0.12805966,0.08013111,5.4161167,-7.379347,-46.248833,,10.711099542150661
90,-0.19403413,-0.30159092,10.5962,0.05629751,-0.1656102,0.0899848,6.1847763,-7.3607254,-45.765648,,10.602266774922771
100,-0.07605681,-0.3680654,10.376414,0.12926807,-0.14883229,0.108360596,6.4928513,-7.650873,-45.754616,,10.3832183968373
110,0.088632345,-0.44172642,9.876956,0.17933546,-0.078791216,0.11821428,6.184986,-6.6398907,-46.857338,,9.887225988549176
120,0.22996558,-0.4411275,9.383489,0.176406,0.006429865,0.11235534,6.8002377,-7.0635147,-46.21807,,9.396666613877604
130,0.3239881,-0.2632632,8.980449,0.11435437,0.090319365,0.09291428,7.7250404,-8.231096,-46.33631,,8.99014683100431
140,0.3263836,-0.1752294,8.729523,0.0059638107,0.18246466,0.064152166,6.6489944,-8.837076,-46.356056,,8.737379664665049
150,0.22816896,-0.09977183,8.723534,-0.1266615,0.2503752,0.03565637,6.341461,-9.567209,-45.58143,,8.727087769784664
160,0.11797695,-0.06443851,8.963081,-0.26168364,0.28819206,0.012753202,5.418434,-7.699642,-47.947487,,8.964089016451329
