Date created: 2021-10-22-21-50-16-954000000
Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,light
31615325,0.9378295,-1.1453983,10.171001,-0.021601545,0.049051225,0.042641334,3.8678417,-1.7710352,-44.340355,
31615330,0.8875244,-1.1633643,10.109917,-0.0152099645,0.041061748,0.03731502,,,,
31615335,0.89710635,-1.1969011,10.07159,-0.01361207,0.03307227,0.02985817,3.253687,-1.651494,-45.59513,
31615340,0.8587787,-1.159771,10.029669,-0.012546807,0.022952268,0.022401327,,,,
31615345,0.79170525,-1.1609688,9.957805,-0.012546807,0.014962792,0.012813954,2.638279,-2.2388878,-44.82981,
31615350,0.7342138,-1.1166525,9.8404255,-0.0066878567,0.013897527,0.004291847,,,,
31615355,0.5880896,-1.0699406,9.779341,-0.0029594346,0.020289108,-0.0020997338,2.637125,-1.644618,-44.5272,
31615360,0.5150275,-1.0352061,9.8009,-0.0029594346,0.031474378,-0.00689342,,,,
31615365,0.42879027,-0.9956808,9.861985,-8.289082E-4,0.04265964,-0.008491315,2.1767807,-1.3776503,-45.934624,
31615370,0.35333273,-1.0028672,9.828448,7.6898735E-4,0.04479017,-0.0036976296,,,,
31615375,0.3497395,-1.0232288,9.780539,7.6898735E-4,0.04212701,0.0021613198,3.09791,-1.4832573,-44.053307,
31615380,0.36650783,-1.026822,9.677533,-0.004024699,0.04212701,0.011216059,,,,
31615385,0.42160386,-1.0459858,9.679929,-0.012546807,0.041061748,0.017075008,3.4068012,-1.4948015,-45.128853,
31615390,0.4527451,-1.0292175,9.691906,-0.022666808,0.04319227,0.017075008,,,,
31615395,0.47789758,-1.0364039,9.73263,-0.029591022,0.050649118,0.017075008,2.1778965,-2.6950674,-45.30027,
31615400,0.46352476,-1.0364039,9.814075,-0.030123653,0.06289964,0.017075008,,,,
31615405,0.48628178,-1.0699406,9.882347,-0.03118892,0.07461755,0.016542377,4.1753216,-0.7507162,-45.42788,
31615410,0.5186207,-1.049579,9.947025,-0.037580498,0.081541754,0.015477113,,,,
31615415,0.56772804,-1.0639518,9.978166,-0.039711025,0.07941123,0.016009746,3.4053898,-0.4629383,-45.14083,
31615420,0.5377846,-1.0555677,10.0380535,-0.039711025,0.078878604,0.016542377,,,,
31615425,0.5509597,-1.0627542,10.103928,-0.039711025,0.0772807,0.015477113,1.8674049,-0.6360092,-45.33184,
31615430,0.5809032,-1.0567654,10.159025,-0.037580498,0.07515018,0.016009746,,,,
31615435,0.5377846,-1.0423925,10.147047,-0.037580498,0.0772807,0.019205535,3.1014996,-2.1099539,-46.52221,
31615440,0.5329936,-1.0196354,10.217714,-0.033852078,0.07142176,0.023466589,,,,
31615445,0.54976195,-0.999274,10.276403,-0.027993126,0.06769333,0.026662381,3.098606,-1.4925222,-44.67225,
31615450,0.57491446,-0.9705282,10.276403,-0.020536283,0.059703857,0.030923435,,,,
31615455,0.61683536,-0.99208754,10.270414,-0.008818385,0.050649118,0.036249753,2.790329,-1.054965,-44.68499,
31615460,0.62402177,-1.0076581,10.293171,0.003432146,0.04265964,0.03784765,,,,
31615465,0.6515698,-1.059161,10.220109,0.007160568,0.029876482,0.036782388,4.02306,-2.6554708,-44.48101,
31615470,0.65156984,-1.0879066,10.131477,0.01621531,0.015495423,0.033053964,,,,
31615475,0.5928806,-1.0304152,10.028471,0.022074258,0.0011143655,0.035184488,5.1001205,-1.9182978,-45.54612,
31615480,0.5329936,-1.022031,9.872765,0.02260689,-0.006342479,0.039445546,,,,
31615485,0.4958637,-1.0340084,9.700291,0.015150045,-0.0010161615,0.04423923,4.48324,-2.0518818,-44.01226,
31615490,0.4683157,-0.9956808,9.598483,0.007160568,0.014962792,0.048500285,,,,
31615495,0.42040613,-1.0028672,9.604471,-0.004024699,0.03573543,0.056489762,2.9469223,-0.94459724,-47.313362,
31615500,0.33416888,-1.0184379,9.602076,-0.018405756,0.05384491,0.06447923,,,,
31615505,0.2850616,-1.0304152,9.628426,-0.021068914,0.06769333,0.07886029,3.2540894,-1.9463129,-45.591713,
31615510,0.2431407,-1.0387993,9.6487875,-0.02639523,0.08207439,0.09324135,,,,
31615515,0.29464346,-1.0567653,9.651184,-0.03438471,0.09379229,0.10762241,4.1789455,-3.4040794,-45.397057,
31615520,0.30302766,-1.0926976,9.672743,-0.040243655,0.10604282,0.11774241,,,,23.0
31615525,0.36650783,-1.1298275,9.721849,-0.041308925,0.120423876,0.1225361,4.022814,-1.3496351,-45.88903,
31615530,0.42160383,-1.1657597,9.82246,-0.038645763,0.13214178,0.124134,,,,
31615535,0.4455586,-1.1825281,9.888335,-0.033852078,0.14119653,0.124134,4.4830494,-1.036233,-45.107384,
31615540,0.434779,-1.1729462,10.045239,-0.022666808,0.13800073,0.1225361,,,,
31615545,0.42519706,-1.187319,10.094347,-0.015742596,0.11829335,0.12040557,2.9448528,-1.9301348,-44.206703,
31615550,0.40723094,-1.1897146,10.075183,-0.012546807,0.08527018,0.11294872,,,,
31615555,0.36770558,-1.1801326,9.998528,-0.009351016,0.041061748,0.109220296,2.9460697,-1.9463491,-45.289833,
31615560,0.3102141,-1.1525847,9.9194765,-0.011481543,-0.006875111,0.108155034,,,,
31615565,0.23595427,-1.0986862,9.730234,-0.02319944,-0.051083546,0.11348135,5.5619526,-1.770834,-46.000618,
31615570,0.22397688,-1.0399971,9.590097,-0.040243655,-0.08463935,0.120938204,,,,
31615575,0.31260958,-0.9645395,9.487093,-0.05675524,-0.097955145,0.13318872,3.0990086,-1.7873411,-44.66883,
31615580,0.34734398,-0.93818927,9.412833,-0.07433209,-0.09955304,0.14224347,,,,
31615585,0.9785526,-1.0352061,9.561354,-0.08604999,-0.08517198,0.13691714,3.2555008,-2.978176,-45.57972,
31615590,1.5726314,-1.0507767,9.735025,-0.08445209,-0.06919303,0.10389398,,,,
31615595,1.4851964,-0.9884943,9.858393,-0.079658404,-0.06546461,0.07140345,2.9472332,-1.6723766,-46.68586,
31615600,1.398959,-0.9753192,9.687115,-0.07859314,-0.070790924,0.053826604,,,,
31615605,1.3977613,-0.99448305,9.651182,-0.07646262,-0.059605654,0.039978176,2.6410255,-2.999096,-46.368584,
31615610,1.3857839,-0.93459606,9.702686,-0.07699525,-0.035637226,0.021868696,,,,
31615615,1.413332,-0.9298051,9.810482,-0.06794051,-0.012201428,0.004291847,3.4071484,-1.4994345,-45.438316,
31615620,1.3762021,-0.91423446,9.87516,-0.059418403,0.004310156,-0.0116871055,,,,
31615625,1.2300779,-0.8699181,9.895522,-0.052494187,0.015495423,-0.018611321,3.100071,-2.8145704,-44.347374,
31615630,1.1773773,-0.8711159,9.915884,-0.048233137,0.022952268,-0.020209214,,,,
31615635,1.1414452,-0.85554516,10.051228,-0.037047867,0.028811216,-0.024470268,3.71525,-1.9346762,-45.270836,
31615640,1.0863491,-0.8806978,10.103928,-0.022134177,0.034137536,-0.028198691,,,,
31615645,1.0264622,-0.87950003,10.138662,-0.005622594,0.029876482,-0.030861849,2.791647,-2.5197906,-44.048927,
31615650,1.0384395,-0.89986163,10.132674,0.0044974093,0.021354374,-0.029796584,,,,
31615655,1.0707786,-0.94537574,10.115906,0.010888991,0.011767001,-0.032992374,2.331047,-1.8152285,-45.770958,
31615660,1.1103039,-0.99687856,10.051228,0.019411098,0.0032448927,-0.03831869,,,,
31615665,1.1821682,-0.96693504,10.010505,0.025270049,-0.0058098473,-0.04950396,4.1746445,-1.7547846,-43.55909,
31615670,1.2013321,-1.0004717,10.058414,0.03272689,-0.016995113,-0.06228712,,,,
31615675,1.1630044,-0.96693504,10.05003,0.04444479,-0.028713012,-0.07560292,4.1763287,-1.4877615,-45.41932,
31615680,1.1222813,-0.92860734,9.957804,0.051901635,-0.046289857,-0.08945134,,,,
31615685,1.1522248,-0.9357938,9.867974,0.049238473,-0.06280144,-0.102234505,4.1763287,-1.4877615,-45.41932,
31615690,1.1474338,-0.90704805,9.677533,0.042314265,-0.07558461,-0.1155503,,,,
31615695,1.0995243,-0.8806978,9.529015,0.03166163,-0.086237244,-0.12460504,4.946205,-1.4853535,-46.01925,
31615700,1.0983264,-0.87351143,9.326595,0.017280573,-0.08410672,-0.13472505,,,,
31615705,1.0516148,-0.8279972,9.197241,-0.0034920669,-0.06652987,-0.140584,4.6369934,-1.6142683,-44.477806,
31615710,0.9605865,-0.79685605,9.198437,-0.025862599,-0.035637226,-0.1421819,,,,
31615715,0.8348239,-0.75373745,9.2858715,-0.047700502,0.0032448927,-0.13845347,3.0988712,-1.0618773,-45.451057,
31615720,0.80607814,-0.77888995,9.440381,-0.057820506,0.03893122,-0.1336598,,,,
31615725,0.7306206,-0.76212156,9.61046,-0.06367946,0.061834384,-0.12780084,2.9471703,-2.250432,-45.905357,
31615730,0.69468844,-0.7453532,9.799704,-0.068473145,0.067160696,-0.12353977,,,,
31615735,0.68390876,-0.7836809,9.925465,-0.06367946,0.061301757,-0.122474514,2.947178,-1.3821917,-46.998756,
31615740,0.6863042,-0.84835887,9.986549,-0.05568998,0.03893122,-0.1256703,,,,
31615745,0.69588614,-0.9154322,10.033262,-0.04610261,0.013364895,-0.12939873,3.2554455,-2.6879902,-45.892616,
31615750,0.6419879,-0.93938696,10.042844,-0.03438471,-0.011136165,-0.13472505,,,,
31615755,0.6036602,-0.966935,10.006912,-0.02319944,-0.035637226,-0.13951874,2.6407146,-2.2713156,-46.996086,
31615760,0.57132125,-0.98011017,9.957805,-0.014677334,-0.0553446,-0.14484505,,,,
31615765,0.5521574,-0.98490113,9.908697,-0.0050899624,-0.07132355,-0.14484505,3.1014996,-2.1099539,-46.52221,
31615770,0.52460945,-1.0208333,9.889533,-2.9627638E-4,-0.080378294,-0.14377978,,,,
31615775,0.5114343,-1.01724,9.784132,0.0066279364,-0.086237244,-0.14111663,3.2526264,-0.6242628,-45.916588,
31615780,0.48867723,-1.0579631,9.691906,0.008758464,-0.08676988,-0.13685557,,,,
31615785,0.5030501,-1.0962908,9.582912,,,,4.17795,-1.7987947,-46.49903,
31615790,0.58569413,-1.0747316,9.423613,0.0066279364,-0.08410672,-0.13632295,,,,
31615795,0.6252195,-1.1154547,9.28707,-0.0024268033,-0.0819762,-0.13685557,3.1024513,-2.5568142,-46.826515,
31615800,0.68031555,-1.099884,9.228381,-0.01734049,-0.078780405,-0.140584,,,,
31615805,0.6036602,-1.059161,9.249941,-0.035982605,-0.06759514,-0.14804085,2.7915478,-1.0711794,-45.76812,
31615810,0.48987502,-1.0364039,9.339771,-0.05728787,-0.053214073,-0.1554977,,,,
31615815,0.4048355,-1.0052626,9.3780985,-0.0727342,-0.037235122,-0.15816084,4.3307495,-0.91432,-46.660225,
31615820,0.27308416,-0.95974857,9.446369,-0.08391946,-0.020723537,-0.15070401,,,,
31615825,0.16289218,-0.93818927,9.50985,-0.092441574,-4.8352976E-4,-0.13845347,3.8707619,-2.5335598,-46.03385,
31615830,0.09462103,-0.8806978,9.552968,-0.09936578,0.036268063,-0.12407241,,,,
31615835,0.07066624,-0.8723136,9.665556,-0.10096368,0.0905965,-0.10116924,3.4033203,1.3013382,-45.470848,
31615840,0.10540068,-0.9082458,9.90151,-0.09670263,0.14332706,-0.07347239,,,,
31615845,0.15450801,-0.95735306,9.954211,-0.08977841,0.1843397,-0.04950396,0.6402054,-2.5825863,-46.11364,
31615850,0.25631583,-1.0160422,9.89672,-0.07912578,0.20564498,-0.031394478,,,,
31615855,0.42160386,-1.0687429,9.884743,-0.07539735,0.2077755,-0.02127448,2.9460697,-1.9463491,-45.289833,
31615860,0.50424784,-1.0879066,9.8404255,-0.07060367,0.18806812,-0.024470268,,,,
31615865,0.56293714,-1.1262343,9.714663,-0.07433209,0.1523818,-0.03831869,2.332264,-1.8314419,-46.854073,
31615870,0.58210087,-1.1154547,9.781736,-0.07859314,0.11136913,-0.056960803,,,,22.0
31615875,0.53538907,-1.0747316,9.814075,-0.08019104,0.06982386,-0.08039661,4.332506,-1.9508171,-46.95771,
31615880,0.4419654,-0.9705282,9.815273,-0.07699525,0.03253964,-0.09797345,,,,
31615885,0.3353666,-0.94777113,9.688313,-0.065277345,0.0011143655,-0.11075661,2.944395,-1.3451309,-44.523018,
31615890,0.19882435,-0.8663249,9.598482,-0.051961556,-0.007940374,-0.11288714,,,,
31615895,0.09222555,-0.833986,9.327793,-0.036515236,0.008038579,-0.10596293,3.8667793,-0.743804,-44.66181,
31615900,0.13414642,-0.833986,8.987636,-0.025862599,0.045855433,-0.09051661,,,,
31615905,0.16289218,-0.8375792,8.829535,-0.027460495,0.09858598,-0.07293976,3.4053268,-1.0409937,-44.360313,
31615910,0.17127636,-0.7345736,8.594777,-0.04556998,0.15504496,-0.059091326,,,,
31615915,0.13414642,-0.6603138,8.491772,-0.06794051,0.20298181,-0.048971325,5.100588,-1.6350603,-46.323204,
31615920,0.032338604,-0.6387545,8.772043,-0.09670263,0.25731024,-0.03778606,,,,
31615925,0.014372505,-0.61599743,8.909782,-0.12173632,0.29246393,-0.026600795,4.6390266,-1.3518782,-46.6475,
31615930,-0.009582281,-0.6519296,9.154121,-0.1350521,0.29512706,-0.01594816,,,,
31615935,0.015570253,-0.63276577,9.44038,-0.14250895,0.2786155,-0.0031649978,5.253584,-1.7662382,-45.389305,
31615940,0.028745368,-0.5908449,9.630821,-0.1382479,0.24612498,0.0074876375,,,,
31615945,0.05868885,-0.57287884,9.68951,-0.11534474,0.20085129,0.018672904,3.2526798,-0.91444874,-45.60369,
31615950,0.07905042,-0.55131954,9.606867,-0.08604999,0.1523818,0.03252133,,,,
31615955,0.10659842,-0.5848562,9.368517,-0.05302682,0.12575018,0.04690239,2.793213,-2.540637,-45.441536,
31615960,0.12815773,-0.58006525,9.066687,-0.021601545,0.13214178,0.060218185,,,,
31615965,0.15929896,-0.608811,8.825941,0.0044974093,0.16676284,0.07300134,3.4043827,0.27410698,-45.14939,
31615970,0.19523112,-0.62198615,8.552856,0.023139521,0.22215655,0.08471924,,,,
31615975,0.3138073,-0.69624597,8.267795,0.028998472,0.27755022,0.09537187,3.867941,-0.46983242,-46.057823,
31615980,0.517423,-0.7812854,7.9959073,0.018878467,0.3238892,0.10123083,,,,
31615985,0.60246253,-0.8531498,7.9096704,-0.0018941717,0.36170605,0.09537187,4.4815826,0.2858162,-45.43226,
31615990,0.655163,-0.92980504,7.916857,-0.032786813,0.38354397,0.081523456,,,,
31615995,0.5844964,-0.95735306,8.053399,-0.06474472,0.3856745,0.05915292,5.253273,-1.0384579,-46.016777,
31616000,0.45514056,-0.89986163,8.319297,-0.085517354,0.36543447,0.03731502,,,,
31616005,0.25631583,-0.8759069,8.526506,-0.09137631,0.33400923,0.02399922,5.7155304,-1.330904,-46.311424,
31616010,0.11977357,-0.83757925,8.754076,-0.081788935,0.2983229,0.014944481,,,,
